trial_id,U_exp,K_exp,D_exp,base_level_fall,divide_migration_distance,relief_at_steady_state,time_back_to_steady_state
2631,-4.8017578125,-5.1923828125,-1.3779296875,-0.16064453125,100.0,19.2517880854,7250000
2632,-4.2841796875,-5.1923828125,-1.3779296875,-0.16064453125,0.0,61.876841993999996,7666000
2633,-4.8017578125,-5.2880859375,-1.3779296875,-0.16064453125,0.0,24.1301956431,8391000
2634,-4.8017578125,-5.1923828125,-2.3212890625,-0.16064453125,200.0,21.607265184699997,10040000
2635,-4.8017578125,-5.1923828125,-1.3779296875,0.16455078125,200.0,19.2517880854,7248000
2636,-4.8017578125,-5.2880859375,-2.3212890625,0.16455078125,400.0,26.2136610601,11112000
2637,-4.2841796875,-5.1923828125,-2.3212890625,0.16455078125,0.0,65.9487370279,5248000
2638,-4.2841796875,-5.2880859375,-1.3779296875,0.16455078125,0.0,76.87616346909999,5681000
2639,-4.2841796875,-5.2880859375,-2.3212890625,-0.16064453125,0.0,83.78936534270001,9014000
2640,-4.2841796875,-5.2880859375,-2.3212890625,0.16455078125,0.0,83.78936534270001,8906000
2641,-4.8642578125,-6.1298828125,-2.6904296875,1.24560546875,0.0,246.309550863,20178000
2642,-3.7216796875,-6.1298828125,-2.6904296875,1.24560546875,0.0,3164.33213833,18864000
2643,-4.8642578125,-6.8505859375,-2.6904296875,1.24560546875,0.0,693.08417202,52938000
2644,-4.8642578125,-6.1298828125,-2.8837890625,1.24560546875,0.0,240.73135769299998,19738000
2645,-4.8642578125,-6.1298828125,-2.6904296875,1.75830078125,200.0,246.309550863,29012000
2646,-4.8642578125,-6.8505859375,-2.8837890625,1.75830078125,0.0,693.2492727380001,52939000
2647,-3.7216796875,-6.1298828125,-2.8837890625,1.75830078125,0.0,3228.20144965,19192000
2648,-3.7216796875,-6.8505859375,-2.6904296875,1.75830078125,0.0,9639.20026234,52939000
2649,-3.7216796875,-6.8505859375,-2.8837890625,1.24560546875,0.0,9641.4831326,52913000
2650,-3.7216796875,-6.8505859375,-2.8837890625,1.75830078125,0.0,9641.4831326,52939000
2651,-3.8642578125,-5.1298828125,-1.6904296875,-0.25439453125,0.0,150.21361998700002,4577000
2652,-4.7216796875,-5.1298828125,-1.6904296875,-0.25439453125,100.0,20.5939566841,11046000
2653,-3.8642578125,-5.8505859375,-1.6904296875,-0.25439453125,0.0,1111.07763802,10154000
2654,-3.8642578125,-5.1298828125,-1.8837890625,-0.25439453125,0.0,149.621871161,5039000
2655,-3.8642578125,-5.1298828125,-1.6904296875,0.25830078125,0.0,150.21361998700002,4577000
