trial_id,U_exp,K_exp,D_exp,base_level_fall
129,-3.001953125,-6.248046875,-1.845703125,0.7490234375
130,-3.001953125,-6.248046875,-1.845703125,-0.4580078125
131,-3.123046875,-5.369140625,-2.650390625,-0.7509765625
132,-4.001953125,-5.369140625,-2.650390625,-0.7509765625
133,-3.123046875,-5.248046875,-2.650390625,-0.7509765625
134,-3.123046875,-5.369140625,-2.845703125,-0.7509765625
135,-3.123046875,-5.369140625,-2.650390625,1.0419921875
136,-3.123046875,-5.248046875,-2.845703125,1.0419921875
137,-4.001953125,-5.369140625,-2.845703125,1.0419921875
138,-4.001953125,-5.248046875,-2.650390625,1.0419921875
139,-4.001953125,-5.248046875,-2.845703125,-0.7509765625
140,-4.001953125,-5.248046875,-2.845703125,1.0419921875
141,-3.623046875,-6.869140625,-1.150390625,1.4990234375
142,-4.501953125,-6.869140625,-1.150390625,1.4990234375
143,-3.623046875,-5.748046875,-1.150390625,1.4990234375
144,-3.623046875,-6.869140625,-1.345703125,1.4990234375
145,-3.623046875,-6.869140625,-1.150390625,1.7919921875
146,-3.623046875,-5.748046875,-1.345703125,1.7919921875
147,-4.501953125,-6.869140625,-1.345703125,1.7919921875
148,-4.501953125,-5.748046875,-1.150390625,1.7919921875
149,-4.501953125,-5.748046875,-1.345703125,1.4990234375
150,-4.501953125,-5.748046875,-1.345703125,1.7919921875
151,-4.623046875,-5.869140625,-2.150390625,-0.0009765625
152,-3.501953125,-5.869140625,-2.150390625,-0.0009765625
153,-4.623046875,-6.748046875,-2.150390625,-0.0009765625
154,-4.623046875,-5.869140625,-2.345703125,-0.0009765625
155,-4.623046875,-5.869140625,-2.150390625,0.2919921875
156,-4.623046875,-6.748046875,-2.345703125,0.2919921875
157,-3.501953125,-5.869140625,-2.345703125,0.2919921875
158,-3.501953125,-6.748046875,-2.150390625,0.2919921875
159,-3.501953125,-6.748046875,-2.345703125,-0.0009765625
160,-3.501953125,-6.748046875,-2.345703125,0.2919921875
161,-4.748046875,-6.244140625,-1.025390625,-0.9384765625
162,-4.876953125,-6.244140625,-1.025390625,-0.9384765625
163,-4.748046875,-6.873046875,-1.025390625,-0.9384765625
164,-4.748046875,-6.244140625,-1.970703125,-0.9384765625
165,-4.748046875,-6.244140625,-1.025390625,-0.2705078125
166,-4.748046875,-6.873046875,-1.970703125,-0.2705078125
167,-4.876953125,-6.244140625,-1.970703125,-0.2705078125
168,-4.876953125,-6.873046875,-1.025390625,-0.2705078125
169,-4.876953125,-6.873046875,-1.970703125,-0.9384765625
170,-4.876953125,-6.873046875,-1.970703125,-0.2705078125
171,-3.748046875,-5.244140625,-2.025390625,0.5615234375
172,-3.876953125,-5.244140625,-2.025390625,0.5615234375
173,-3.748046875,-5.873046875,-2.025390625,0.5615234375
174,-3.748046875,-5.244140625,-2.970703125,0.5615234375
175,-3.748046875,-5.244140625,-2.025390625,1.2294921875
176,-3.748046875,-5.873046875,-2.970703125,1.2294921875
177,-3.876953125,-5.244140625,-2.970703125,1.2294921875
178,-3.876953125,-5.873046875,-2.025390625,1.2294921875
179,-3.876953125,-5.873046875,-2.970703125,0.5615234375
180,-3.876953125,-5.873046875,-2.970703125,1.2294921875
181,-3.248046875,-6.744140625,-1.525390625,-0.1884765625
182,-3.376953125,-6.744140625,-1.525390625,-0.1884765625
183,-3.248046875,-5.373046875,-1.525390625,-0.1884765625
184,-3.248046875,-6.744140625,-1.470703125,-0.1884765625
185,-3.248046875,-6.744140625,-1.525390625,1.9794921875
186,-3.248046875,-5.373046875,-1.470703125,1.9794921875
187,-3.376953125,-6.744140625,-1.470703125,1.9794921875
188,-3.376953125,-5.373046875,-1.525390625,1.9794921875
189,-3.376953125,-5.373046875,-1.470703125,-0.1884765625
190,-3.376953125,-5.373046875,-1.470703125,1.9794921875
191,-4.248046875,-5.744140625,-2.525390625,1.3115234375
192,-4.376953125,-5.744140625,-2.525390625,1.3115234375
193,-4.248046875,-6.373046875,-2.525390625,1.3115234375
194,-4.248046875,-5.744140625,-2.470703125,1.3115234375
195,-4.248046875,-5.744140625,-2.525390625,0.4794921875
196,-4.248046875,-6.373046875,-2.470703125,0.4794921875
197,-4.376953125,-5.744140625,-2.470703125,0.4794921875
198,-4.376953125,-6.373046875,-2.525390625,0.4794921875
199,-4.376953125,-6.373046875,-2.470703125,1.3115234375
200,-4.376953125,-6.373046875,-2.470703125,0.4794921875
201,-4.498046875,-6.994140625,-2.275390625,1.6865234375
202,-4.126953125,-6.994140625,-2.275390625,1.6865234375
203,-4.498046875,-6.623046875,-2.275390625,1.6865234375
204,-4.498046875,-6.994140625,-1.220703125,1.6865234375
205,-4.498046875,-6.994140625,-2.275390625,1.6044921875
206,-4.498046875,-6.623046875,-1.220703125,1.6044921875
207,-4.126953125,-6.994140625,-1.220703125,1.6044921875
208,-4.126953125,-6.623046875,-2.275390625,1.6044921875
209,-4.126953125,-6.623046875,-1.220703125,1.6865234375
210,-4.126953125,-6.623046875,-1.220703125,1.6044921875
211,-3.498046875,-5.994140625,-1.275390625,0.1865234375
212,-3.126953125,-5.994140625,-1.275390625,0.1865234375
213,-3.498046875,-5.623046875,-1.275390625,0.1865234375
214,-3.498046875,-5.994140625,-2.220703125,0.1865234375
215,-3.498046875,-5.994140625,-1.275390625,0.1044921875
216,-3.498046875,-5.623046875,-2.220703125,0.1044921875
217,-3.126953125,-5.994140625,-2.220703125,0.1044921875
218,-3.126953125,-5.623046875,-1.275390625,0.1044921875
219,-3.126953125,-5.623046875,-2.220703125,0.1865234375
220,-3.126953125,-5.623046875,-2.220703125,0.1044921875
221,-3.998046875,-6.494140625,-2.775390625,0.9365234375
222,-3.626953125,-6.494140625,-2.775390625,0.9365234375
223,-3.998046875,-5.123046875,-2.775390625,0.9365234375
224,-3.998046875,-6.494140625,-1.720703125,0.9365234375
225,-3.998046875,-6.494140625,-2.775390625,-0.6455078125
226,-3.998046875,-5.123046875,-1.720703125,-0.6455078125
227,-3.626953125,-6.494140625,-1.720703125,-0.6455078125
228,-3.626953125,-5.123046875,-2.775390625,-0.6455078125
229,-3.626953125,-5.123046875,-1.720703125,0.9365234375
230,-3.626953125,-5.123046875,-1.720703125,-0.6455078125
231,-4.998046875,-5.494140625,-1.775390625,-0.5634765625
232,-4.626953125,-5.494140625,-1.775390625,-0.5634765625
233,-4.998046875,-6.123046875,-1.775390625,-0.5634765625
234,-4.998046875,-5.494140625,-2.720703125,-0.5634765625
235,-4.998046875,-5.494140625,-1.775390625,0.8544921875
236,-4.998046875,-6.123046875,-2.720703125,0.8544921875
237,-4.626953125,-5.494140625,-2.720703125,0.8544921875
238,-4.626953125,-6.123046875,-1.775390625,0.8544921875
239,-4.626953125,-6.123046875,-2.720703125,-0.5634765625
240,-4.626953125,-6.123046875,-2.720703125,0.8544921875
241,-4.9970703125,-6.2470703125,-2.1044921875,0.46044921875
242,-3.8857421875,-6.2470703125,-2.1044921875,0.46044921875
243,-4.9970703125,-5.3115234375,-2.1044921875,0.46044921875
244,-4.9970703125,-6.2470703125,-2.5166015625,0.46044921875
245,-4.9970703125,-6.2470703125,-2.1044921875,0.76220703125
246,-4.9970703125,-5.3115234375,-2.5166015625,0.76220703125
247,-3.8857421875,-6.2470703125,-2.5166015625,0.76220703125
248,-3.8857421875,-5.3115234375,-2.1044921875,0.76220703125
249,-3.8857421875,-5.3115234375,-2.5166015625,0.46044921875
250,-3.8857421875,-5.3115234375,-2.5166015625,0.76220703125
251,-3.9970703125,-5.2470703125,-1.1044921875,1.96044921875
252,-4.8857421875,-5.2470703125,-1.1044921875,1.96044921875
253,-3.9970703125,-6.3115234375,-1.1044921875,1.96044921875
254,-3.9970703125,-5.2470703125,-1.5166015625,1.96044921875
255,-3.9970703125,-5.2470703125,-1.1044921875,-0.73779296875
256,-3.9970703125,-6.3115234375,-1.5166015625,-0.73779296875
257,-4.8857421875,-5.2470703125,-1.5166015625,-0.73779296875
258,-4.8857421875,-6.3115234375,-1.1044921875,-0.73779296875
259,-4.8857421875,-6.3115234375,-1.5166015625,1.96044921875
260,-4.8857421875,-6.3115234375,-1.5166015625,-0.73779296875
261,-3.4970703125,-6.7470703125,-2.6044921875,-0.28955078125
262,-4.3857421875,-6.7470703125,-2.6044921875,-0.28955078125
263,-3.4970703125,-6.8115234375,-2.6044921875,-0.28955078125
264,-3.4970703125,-6.7470703125,-2.0166015625,-0.28955078125
265,-3.4970703125,-6.7470703125,-2.6044921875,0.01220703125
266,-3.4970703125,-6.8115234375,-2.0166015625,0.01220703125
267,-4.3857421875,-6.7470703125,-2.0166015625,0.01220703125
268,-4.3857421875,-6.8115234375,-2.6044921875,0.01220703125
269,-4.3857421875,-6.8115234375,-2.0166015625,-0.28955078125
270,-4.3857421875,-6.8115234375,-2.0166015625,0.01220703125
271,-4.4970703125,-5.7470703125,-1.6044921875,1.21044921875
272,-3.3857421875,-5.7470703125,-1.6044921875,1.21044921875
273,-4.4970703125,-5.8115234375,-1.6044921875,1.21044921875
274,-4.4970703125,-5.7470703125,-1.0166015625,1.21044921875
275,-4.4970703125,-5.7470703125,-1.6044921875,1.51220703125
276,-4.4970703125,-5.8115234375,-1.0166015625,1.51220703125
277,-3.3857421875,-5.7470703125,-1.0166015625,1.51220703125
278,-3.3857421875,-5.8115234375,-1.6044921875,1.51220703125
279,-3.3857421875,-5.8115234375,-1.0166015625,1.21044921875
280,-3.3857421875,-5.8115234375,-1.0166015625,1.51220703125
281,-4.2470703125,-6.9970703125,-1.3544921875,0.83544921875
282,-3.1357421875,-6.9970703125,-1.3544921875,0.83544921875
283,-4.2470703125,-5.0615234375,-1.3544921875,0.83544921875
284,-4.2470703125,-6.9970703125,-2.2666015625,0.83544921875
285,-4.2470703125,-6.9970703125,-1.3544921875,0.38720703125
286,-4.2470703125,-5.0615234375,-2.2666015625,0.38720703125
287,-3.1357421875,-6.9970703125,-2.2666015625,0.38720703125
288,-3.1357421875,-5.0615234375,-1.3544921875,0.38720703125
289,-3.1357421875,-5.0615234375,-2.2666015625,0.83544921875
290,-3.1357421875,-5.0615234375,-2.2666015625,0.38720703125
291,-3.2470703125,-5.9970703125,-2.3544921875,-0.66455078125
292,-4.1357421875,-5.9970703125,-2.3544921875,-0.66455078125
293,-3.2470703125,-6.0615234375,-2.3544921875,-0.66455078125
294,-3.2470703125,-5.9970703125,-1.2666015625,-0.66455078125
295,-3.2470703125,-5.9970703125,-2.3544921875,1.88720703125
296,-3.2470703125,-6.0615234375,-1.2666015625,1.88720703125
297,-4.1357421875,-5.9970703125,-1.2666015625,1.88720703125
298,-4.1357421875,-6.0615234375,-2.3544921875,1.88720703125
299,-4.1357421875,-6.0615234375,-1.2666015625,-0.66455078125
300,-4.1357421875,-6.0615234375,-1.2666015625,1.88720703125
301,-3.7470703125,-6.4970703125,-1.8544921875,1.58544921875
302,-4.6357421875,-6.4970703125,-1.8544921875,1.58544921875
303,-3.7470703125,-6.5615234375,-1.8544921875,1.58544921875
304,-3.7470703125,-6.4970703125,-2.7666015625,1.58544921875
305,-3.7470703125,-6.4970703125,-1.8544921875,1.13720703125
306,-3.7470703125,-6.5615234375,-2.7666015625,1.13720703125
307,-4.6357421875,-6.4970703125,-2.7666015625,1.13720703125
308,-4.6357421875,-6.5615234375,-1.8544921875,1.13720703125
309,-4.6357421875,-6.5615234375,-2.7666015625,1.58544921875
310,-4.6357421875,-6.5615234375,-2.7666015625,1.13720703125
311,-4.7470703125,-5.4970703125,-2.8544921875,0.08544921875
312,-3.6357421875,-5.4970703125,-2.8544921875,0.08544921875
313,-4.7470703125,-5.5615234375,-2.8544921875,0.08544921875
314,-4.7470703125,-5.4970703125,-1.7666015625,0.08544921875
315,-4.7470703125,-5.4970703125,-2.8544921875,-0.36279296875
316,-4.7470703125,-5.5615234375,-1.7666015625,-0.36279296875
317,-3.6357421875,-5.4970703125,-1.7666015625,-0.36279296875
318,-3.6357421875,-5.5615234375,-2.8544921875,-0.36279296875
319,-3.6357421875,-5.5615234375,-1.7666015625,0.08544921875
320,-3.6357421875,-5.5615234375,-1.7666015625,-0.36279296875
321,-4.6220703125,-6.6220703125,-1.9794921875,-0.85205078125
322,-4.7607421875,-6.6220703125,-1.9794921875,-0.85205078125
323,-4.6220703125,-5.9365234375,-1.9794921875,-0.85205078125
324,-4.6220703125,-6.6220703125,-2.3916015625,-0.85205078125
325,-4.6220703125,-6.6220703125,-1.9794921875,0.19970703125
326,-4.6220703125,-5.9365234375,-2.3916015625,0.19970703125
327,-4.7607421875,-6.6220703125,-2.3916015625,0.19970703125
328,-4.7607421875,-5.9365234375,-1.9794921875,0.19970703125
329,-4.7607421875,-5.9365234375,-2.3916015625,-0.85205078125
330,-4.7607421875,-5.9365234375,-2.3916015625,0.19970703125
331,-3.6220703125,-5.6220703125,-2.9794921875,0.64794921875
332,-3.7607421875,-5.6220703125,-2.9794921875,0.64794921875
333,-3.6220703125,-6.9365234375,-2.9794921875,0.64794921875
334,-3.6220703125,-5.6220703125,-1.3916015625,0.64794921875
335,-3.6220703125,-5.6220703125,-2.9794921875,1.69970703125
336,-3.6220703125,-6.9365234375,-1.3916015625,1.69970703125
337,-3.7607421875,-5.6220703125,-1.3916015625,1.69970703125
338,-3.7607421875,-6.9365234375,-2.9794921875,1.69970703125
339,-3.7607421875,-6.9365234375,-1.3916015625,0.64794921875
340,-3.7607421875,-6.9365234375,-1.3916015625,1.69970703125
341,-3.1220703125,-6.1220703125,-1.4794921875,-0.10205078125
342,-3.2607421875,-6.1220703125,-1.4794921875,-0.10205078125
343,-3.1220703125,-6.4365234375,-1.4794921875,-0.10205078125
344,-3.1220703125,-6.1220703125,-2.8916015625,-0.10205078125
345,-3.1220703125,-6.1220703125,-1.4794921875,0.94970703125
346,-3.1220703125,-6.4365234375,-2.8916015625,0.94970703125
347,-3.2607421875,-6.1220703125,-2.8916015625,0.94970703125
348,-3.2607421875,-6.4365234375,-1.4794921875,0.94970703125
349,-3.2607421875,-6.4365234375,-2.8916015625,-0.10205078125
350,-3.2607421875,-6.4365234375,-2.8916015625,0.94970703125
351,-4.1220703125,-5.1220703125,-2.4794921875,1.39794921875
352,-4.2607421875,-5.1220703125,-2.4794921875,1.39794921875
353,-4.1220703125,-5.4365234375,-2.4794921875,1.39794921875
354,-4.1220703125,-5.1220703125,-1.8916015625,1.39794921875
355,-4.1220703125,-5.1220703125,-2.4794921875,-0.55029296875
356,-4.1220703125,-5.4365234375,-1.8916015625,-0.55029296875
357,-4.2607421875,-5.1220703125,-1.8916015625,-0.55029296875
358,-4.2607421875,-5.4365234375,-2.4794921875,-0.55029296875
359,-4.2607421875,-5.4365234375,-1.8916015625,1.39794921875
360,-4.2607421875,-5.4365234375,-1.8916015625,-0.55029296875
361,-4.3720703125,-6.3720703125,-2.7294921875,1.77294921875
362,-4.0107421875,-6.3720703125,-2.7294921875,1.77294921875
363,-4.3720703125,-5.6865234375,-2.7294921875,1.77294921875
364,-4.3720703125,-6.3720703125,-2.6416015625,1.77294921875
365,-4.3720703125,-6.3720703125,-2.7294921875,0.57470703125
366,-4.3720703125,-5.6865234375,-2.6416015625,0.57470703125
367,-4.0107421875,-6.3720703125,-2.6416015625,0.57470703125
368,-4.0107421875,-5.6865234375,-2.7294921875,0.57470703125
369,-4.0107421875,-5.6865234375,-2.6416015625,1.77294921875
370,-4.0107421875,-5.6865234375,-2.6416015625,0.57470703125
371,-3.3720703125,-5.3720703125,-1.7294921875,0.27294921875
372,-3.0107421875,-5.3720703125,-1.7294921875,0.27294921875
373,-3.3720703125,-6.6865234375,-1.7294921875,0.27294921875
374,-3.3720703125,-5.3720703125,-1.6416015625,0.27294921875
375,-3.3720703125,-5.3720703125,-1.7294921875,-0.92529296875
376,-3.3720703125,-6.6865234375,-1.6416015625,-0.92529296875
377,-3.0107421875,-5.3720703125,-1.6416015625,-0.92529296875
378,-3.0107421875,-6.6865234375,-1.7294921875,-0.92529296875
379,-3.0107421875,-6.6865234375,-1.6416015625,0.27294921875
380,-3.0107421875,-6.6865234375,-1.6416015625,-0.92529296875
381,-3.8720703125,-6.8720703125,-2.2294921875,1.02294921875
382,-3.5107421875,-6.8720703125,-2.2294921875,1.02294921875
383,-3.8720703125,-6.1865234375,-2.2294921875,1.02294921875
384,-3.8720703125,-6.8720703125,-2.1416015625,1.02294921875
385,-3.8720703125,-6.8720703125,-2.2294921875,-0.17529296875
386,-3.8720703125,-6.1865234375,-2.1416015625,-0.17529296875
387,-3.5107421875,-6.8720703125,-2.1416015625,-0.17529296875
388,-3.5107421875,-6.1865234375,-2.2294921875,-0.17529296875
389,-3.5107421875,-6.1865234375,-2.1416015625,1.02294921875
390,-3.5107421875,-6.1865234375,-2.1416015625,-0.17529296875
391,-4.8720703125,-5.8720703125,-1.2294921875,-0.47705078125
392,-4.5107421875,-5.8720703125,-1.2294921875,-0.47705078125
393,-4.8720703125,-5.1865234375,-1.2294921875,-0.47705078125
394,-4.8720703125,-5.8720703125,-1.1416015625,-0.47705078125
395,-4.8720703125,-5.8720703125,-1.2294921875,1.32470703125
396,-4.8720703125,-5.1865234375,-1.1416015625,1.32470703125
397,-4.5107421875,-5.8720703125,-1.1416015625,1.32470703125
398,-4.5107421875,-5.1865234375,-1.2294921875,1.32470703125
399,-4.5107421875,-5.1865234375,-1.1416015625,-0.47705078125
400,-4.5107421875,-5.1865234375,-1.1416015625,1.32470703125
401,-4.8095703125,-6.8095703125,-2.9169921875,1.49169921875
402,-3.4482421875,-6.8095703125,-2.9169921875,1.49169921875
403,-4.8095703125,-6.7490234375,-2.9169921875,1.49169921875
404,-4.8095703125,-6.8095703125,-1.5791015625,1.49169921875
405,-4.8095703125,-6.8095703125,-2.9169921875,-0.08154296875
406,-4.8095703125,-6.7490234375,-1.5791015625,-0.08154296875
407,-3.4482421875,-6.8095703125,-1.5791015625,-0.08154296875
408,-3.4482421875,-6.7490234375,-2.9169921875,-0.08154296875
409,-3.4482421875,-6.7490234375,-1.5791015625,1.49169921875
410,-3.4482421875,-6.7490234375,-1.5791015625,-0.08154296875
411,-3.8095703125,-5.8095703125,-1.9169921875,-0.00830078125
412,-4.4482421875,-5.8095703125,-1.9169921875,-0.00830078125
413,-3.8095703125,-5.7490234375,-1.9169921875,-0.00830078125
414,-3.8095703125,-5.8095703125,-2.5791015625,-0.00830078125
415,-3.8095703125,-5.8095703125,-1.9169921875,1.41845703125
416,-3.8095703125,-5.7490234375,-2.5791015625,1.41845703125
417,-4.4482421875,-5.8095703125,-2.5791015625,1.41845703125
418,-4.4482421875,-5.7490234375,-1.9169921875,1.41845703125
419,-4.4482421875,-5.7490234375,-2.5791015625,-0.00830078125
420,-4.4482421875,-5.7490234375,-2.5791015625,1.41845703125
421,-3.3095703125,-6.3095703125,-2.4169921875,0.74169921875
422,-4.9482421875,-6.3095703125,-2.4169921875,0.74169921875
423,-3.3095703125,-5.2490234375,-2.4169921875,0.74169921875
424,-3.3095703125,-6.3095703125,-1.0791015625,0.74169921875
425,-3.3095703125,-6.3095703125,-2.4169921875,0.66845703125
426,-3.3095703125,-5.2490234375,-1.0791015625,0.66845703125
427,-4.9482421875,-6.3095703125,-1.0791015625,0.66845703125
428,-4.9482421875,-5.2490234375,-2.4169921875,0.66845703125
429,-4.9482421875,-5.2490234375,-1.0791015625,0.74169921875
430,-4.9482421875,-5.2490234375,-1.0791015625,0.66845703125
431,-4.3095703125,-5.3095703125,-1.4169921875,-0.75830078125
432,-3.9482421875,-5.3095703125,-1.4169921875,-0.75830078125
433,-4.3095703125,-6.2490234375,-1.4169921875,-0.75830078125
434,-4.3095703125,-5.3095703125,-2.0791015625,-0.75830078125
435,-4.3095703125,-5.3095703125,-1.4169921875,-0.83154296875
436,-4.3095703125,-6.2490234375,-2.0791015625,-0.83154296875
437,-3.9482421875,-5.3095703125,-2.0791015625,-0.83154296875
438,-3.9482421875,-6.2490234375,-1.4169921875,-0.83154296875
